net,old_x_mm,old_y_mm,new_x_mm,new_y_mm,displacement_mm
/VBAT,111.5,115.65,110.7,115.625,0.800391
/VBAT,126.5,95.35,126.65,95.45,0.180278
/VBAT,119.65,115.65,119.675,115.7,0.055902
/VBAT,126.5,97.9,126.675,97.925,0.176777
/VBAT,126.5,96.65,126.625,96.75,0.160078
/REG_EN,138.7,96.1,138.775,96.1,0.075
/REG_EN,135.95,99.7,135.95,99.65,0.05
/ESP_3V3,145.4,98.8,145.3,98.8,0.1
/ESP_3V3,145.4,101.5,145.3,101.5,0.1
GND,141.1,104.0,141.0,104.0,0.1
GND,135.0,150.55,135.2,150.625,0.2136
GND,133.6,151.95,133.8,151.95,0.2
GND,135.0,151.95,135.2,151.9,0.206155
GND,138.4,103.0,138.475,103.0,0.075
GND,148.6,99.0,148.7,99.0,0.1
GND,111.9,113.45,111.975,113.45,0.075
GND,135.0,149.15,135.2,149.15,0.2
GND,138.2,101.15,138.275,101.15,0.075
GND,135.55,149.95,135.55,149.84,0.11
GND,133.6,149.15,133.8,149.15,0.2
GND,148.6,101.3,148.7,101.3,0.1
GND,119.65,107.2,119.7,107.1,0.111803
GND,111.05,112.85,111.05,112.775,0.075
GND,133.6,150.55,133.8,150.55,0.2
/GPIO38,157.4,111.7,157.25,111.75,0.158114
/GPIO7,140.85,150.95,140.75,150.95,0.1
/GPIO7,155.5,87.95,155.475,88.025,0.079057
/GPIO10,115.8,113.05,114.775,113.05,1.025
/GPIO47,118.1,133.85,117.875,132.05,1.814008
/GPIO4,121.5,87.95,121.475,88.025,0.079057
/GPIO6,105.05,87.55,104.95,87.55,0.1
/GPIO6,140.85,151.9,140.75,151.85,0.111803
/GPIO16,140.85,147.8,140.75,147.8,0.1
/GPIO16,143.2,110.4,143.15,110.4,0.05
/GPIO17,137.5,108.2,137.55,108.2,0.05
