reference,pad,via_x_mm,via_y_mm,net,overlap_mm,intentional_thermal,via_uuid
Q1,6,126.5,97.9,/VBAT,0.069295,False,f361ec2d-b5ad-47bb-a443-94baeabc5fb3
Q1,7,126.5,96.65,/VBAT,0.058701,False,fc3b3d47-fa03-4af4-861a-1e28c2427cbd
Q1,8,126.5,95.35,/VBAT,0.074113,False,ab708dbc-8dd8-416a-846e-bb9a9d5d8446
R22,2,157.4,111.7,/GPIO38,0.046447,False,a2b8e854-cfe6-438b-8280-96d3a7158328
U1,41,133.6,149.15,GND,0.1,False,a6f07216-ad4e-440b-a22e-94b2d62c2f30
U1,41,133.6,150.55,GND,0.1,False,e09a10a6-4b77-4421-86af-a3aba1bd4bcb
U1,41,133.6,151.95,GND,0.1,False,2517cbc7-96df-4745-b377-24b83bacbd58
U1,41,135.0,149.15,GND,0.1,False,6ee3ea6a-95aa-4aa6-94c4-2416264c22d3
U1,41,135.0,150.55,GND,0.1,False,10af4f5b-b0d5-4f25-b26f-698b5b0fe343
U1,41,135.0,151.95,GND,0.1,False,28d342de-9384-4d80-b4c6-c7a2191b8e7e
U1,41,135.55,149.95,GND,0.01,False,99090151-3f34-497c-8aa3-d5690ac10b32
U4,9,109.0,113.6,GND,0.525,True,4fe049ba-90b9-48f1-bfdb-6e0ec3a1be9b
U4,9,109.0,114.4,GND,0.525,True,5becb970-c00c-44fe-b7d3-f59363c3fb1a
U5,1,115.8,113.05,/GPIO10,0.074433,False,e19afae7-02ad-43e7-926c-98cf34dffeba
U5,9,117.0,113.6,GND,0.525,True,6e8f5fd1-19f8-4116-b1e7-805ae8beffcb
U5,9,117.0,114.4,GND,0.525,True,cf1c110c-ee1e-4e92-a19a-54d75ef9f53e
